case_key,case_name,rank,image_file,sample_id,tf_mae,spectrum_mae,noisy_spectrum_mae,pred_spectrum_mae,spectrum_mae_improvement,spectrum_mae_improvement_ratio,noisy_noise_floor,clean_noise_floor,pred_noise_floor,noise_floor_reduction,peak_error,noisy_peak_error,pred_peak_error,peak_error_improvement,peak_error_improvement_ratio,clean_peak_mean,pred_peak_keep_ratio,noisy_peak_keep_ratio
spectrum_best,距离谱改善最好,1,spectrum_best_01_sample_00853.png,853,0.0034318091347813606,4.327986549288525,1802.0495802637877,4.327986549288525,1797.7215937144992,0.9975982977401461,1716.6397353693555,6.673034168567005,6.273568370440665,1710.3661669989149,3.8155439377811873,1632.8077976795928,3.8155439377811873,1628.9922537418115,0.997663200810773,25.873434731654452,0.8673323687101797,64.10750059333867
spectrum_best,距离谱改善最好,2,spectrum_best_02_sample_00196.png,196,0.004686548374593258,6.810763228657008,1791.3313318101896,6.810763228657008,1784.5205685815326,0.9961979321704967,1730.231443866145,7.717629591411601,8.070234390415262,1722.1612094757297,248.3292946695329,532.5785562392189,248.3292946695329,284.2492615696859,0.5337226935626176,782.0390309330883,0.6824592061943003,1.408368862498432
spectrum_best,距离谱改善最好,3,spectrum_best_03_sample_01278.png,1278,0.005122888367623091,7.239990940288165,1784.5819614932514,7.239990940288165,1777.3419705529632,0.9959430325440306,1661.7041353242635,7.0919717837312355,6.260121483450218,1655.4440138408133,152.69866596462563,581.6015827349121,152.69866596462563,428.9029167702864,0.7374514263758045,822.7115655477637,0.8143958680549745,1.5752234345814184
spectrum_best,距离谱改善最好,4,spectrum_best_04_sample_00323.png,323,0.006092962343245745,3.720723348277792,1777.7258571000893,3.720723348277792,1774.0051337518116,0.9979070319906652,1656.1816120264973,6.855032710186583,6.123988079488004,1650.0576239470092,10.735674513031213,1699.7157396035946,10.735674513031213,1688.9800650905634,0.9936838412077451,25.333046636504264,0.5762185785596989,68.09480166330836
spectrum_best,距离谱改善最好,5,spectrum_best_05_sample_01449.png,1449,0.005982326343655586,18.053814167621738,1764.7773428834812,18.053814167621738,1746.7235287158594,0.9897699195649671,1737.0428624352442,35.72191275903834,32.57200969411728,1704.470852741127,41.15188668768608,2189.5241069746303,41.15188668768608,2148.3722202869444,0.9812050999773885,153.3972280182427,0.7317299196384951,15.273557190448335
spectrum_worst,距离谱改善最差,1,spectrum_worst_01_sample_00352.png,352,0.0018992717377841473,5.025955119889163,0.0,5.025955119889163,-5.025955119889163,0.0,67.4802505649223,67.4802505649223,67.77833323260703,-0.29808266768472436,10.255578568249755,0.0,10.255578568249755,-10.255578568249755,0.0,241.59148949307425,0.9940665376028611,1.0
spectrum_worst,距离谱改善最差,2,spectrum_worst_02_sample_01511.png,1511,0.0016982388915494084,4.254432626901226,0.0,4.254432626901226,-4.254432626901226,0.0,52.62136096477329,52.62136096477329,52.13472032873009,0.48664063604319807,4.045641262035379,0.0,4.045641262035379,-4.045641262035379,0.0,222.6173958985747,0.9986001293341084,1.0
spectrum_worst,距离谱改善最差,3,spectrum_worst_03_sample_01164.png,1164,0.001527045969851315,3.6204808377550446,0.0,3.6204808377550446,-3.6204808377550446,0.0,46.44448680196686,46.44448680196686,46.20786877267724,0.23661802928962317,9.962333946778719,0.0,9.962333946778719,-9.962333946778719,0.0,307.0674745138271,1.0324434685326143,1.0
spectrum_worst,距离谱改善最差,4,spectrum_worst_04_sample_01755.png,1755,0.0012629281263798475,2.9930303082411367,0.0,2.9930303082411367,-2.9930303082411367,0.0,34.846684558319545,34.846684558319545,34.299949223032634,0.5467353352869111,8.366691426972068,0.0,8.366691426972068,-8.366691426972068,0.0,143.04352382037612,0.9569169125198246,1.0
spectrum_worst,距离谱改善最差,5,spectrum_worst_05_sample_01487.png,1487,0.0009805074660107493,2.48104176942217,0.0,2.48104176942217,-2.48104176942217,0.0,25.122095320591523,25.122095320591523,24.572028686860374,0.5500666337311486,23.08946149096759,0.0,23.08946149096759,-23.08946149096759,0.0,884.7985970476847,0.9831862249265101,1.0
peak_best,目标峰改善最好,1,peak_best_01_sample_01449.png,1449,0.005982326343655586,18.053814167621738,1764.7773428834812,18.053814167621738,1746.7235287158594,0.9897699195649671,1737.0428624352442,35.72191275903834,32.57200969411728,1704.470852741127,41.15188668768608,2189.5241069746303,41.15188668768608,2148.3722202869444,0.9812050999773885,153.3972280182427,0.7317299196384951,15.273557190448335
peak_best,目标峰改善最好,2,peak_best_02_sample_00877.png,877,0.0057427664287388325,13.418211007173854,1735.1787254441958,13.418211007173854,1721.760514437022,0.9922669573972913,1656.6904653137142,37.402719352807864,34.396189589971364,1622.2942757237429,6.909553324613417,1962.6698654882882,6.909553324613417,1955.7603121636748,0.9964795132150794,144.51376812719317,0.9666778161413835,14.581196386498295
peak_best,目标峰改善最好,3,peak_best_03_sample_01458.png,1458,0.008234761655330658,23.143637477238855,1665.0156471848459,23.143637477238855,1641.872009707607,0.9861000480587859,1594.1303168214818,67.92329797246113,62.19003267105591,1531.940284150426,60.65972877084479,1770.3981937705196,60.65972877084479,1709.7384649996748,0.9657366749557882,283.1015709318365,0.7857315712831205,7.253579547238845
peak_best,目标峰改善最好,4,peak_best_04_sample_00323.png,323,0.006092962343245745,3.720723348277792,1777.7258571000893,3.720723348277792,1774.0051337518116,0.9979070319906652,1656.1816120264973,6.855032710186583,6.123988079488004,1650.0576239470092,10.735674513031213,1699.7157396035946,10.735674513031213,1688.9800650905634,0.9936838412077451,25.333046636504264,0.5762185785596989,68.09480166330836
peak_best,目标峰改善最好,5,peak_best_05_sample_00853.png,853,0.0034318091347813606,4.327986549288525,1802.0495802637877,4.327986549288525,1797.7215937144992,0.9975982977401461,1716.6397353693555,6.673034168567005,6.273568370440665,1710.3661669989149,3.8155439377811873,1632.8077976795928,3.8155439377811873,1628.9922537418115,0.997663200810773,25.873434731654452,0.8673323687101797,64.10750059333867
peak_worst,目标峰改善最差,1,peak_worst_01_sample_01242.png,1242,0.015779610723257065,125.66560150901608,365.88268603089716,125.66560150901608,240.21708452188108,0.6565412731817428,583.4393910057946,362.4051120713745,302.0852611941848,281.3541298116098,538.2735731480018,187.20004821481325,538.2735731480018,-351.07352493318854,-1.8753922783733978,1476.9013222489427,0.6355385664301871,1.107526571036739
peak_worst,目标峰改善最差,2,peak_worst_02_sample_00490.png,490,0.011102146469056606,93.20635504458144,267.68271050096234,93.20635504458144,174.4763554563809,0.6518028569340628,412.42684781311533,270.9477902377434,235.47922949272473,176.9476183203906,331.0644607481101,100.13820830442069,331.0644607481101,-230.9262524436894,-2.3060753368152183,1417.4917075533224,0.7664434585514807,0.9536243224781383
peak_worst,目标峰改善最差,3,peak_worst_03_sample_01886.png,1886,0.008691489696502686,67.12031292085985,750.3561764629461,67.12031292085985,683.2358635420862,0.9105487300214495,889.6722936790527,207.41836887965454,185.8436125730869,703.8286811059659,238.42118082385286,108.04028934187295,238.42118082385286,-130.38089148197992,-1.2067802879480856,1046.0415247120216,0.7720729290460137,0.9943526579857314
peak_worst,目标峰改善最差,4,peak_worst_04_sample_01425.png,1425,0.0028136984910815954,15.274807639319679,268.4132056169916,15.274807639319679,253.13839797767193,0.9430921902511912,289.9359774439141,36.92110308451636,35.55449701299305,254.38148043092104,124.25945074154436,8.352310789589373,124.25945074154436,-115.90713995195499,-13.877254196099349,748.3082387786116,0.833946167765892,0.9904296294383798
peak_worst,目标峰改善最差,5,peak_worst_05_sample_01805.png,1805,0.004724818281829357,36.15261791472321,63.27318138067877,36.15261791472321,27.120563465955563,0.4286265187581852,133.49601861467107,118.42935067094717,112.23871728487174,21.257301329799333,133.6554332573882,20.146409412664337,133.6554332573882,-113.50902384472387,-5.634206151562193,852.695992544217,0.8432554692105493,0.9763732800566437
lowest_peak_keep,目标峰保持率最低,1,lowest_peak_keep_01_sample_00737.png,737,0.0007387794903479517,1.596925057717712,1.1943007312314735,1.596925057717712,-0.4026243264862386,-0.33712139326171436,2.7624086739070695,2.3535708573764245,1.5640345812504253,1.1983740926566442,5.314908030181013,1.0485719380969492,5.314908030181013,-4.266336092084064,-4.068710917275764,8.874393474938907,0.4010961937635291,1.0188678698538205
lowest_peak_keep,目标峰保持率最低,2,lowest_peak_keep_02_sample_01232.png,1232,0.0009227499249391258,1.7242796992604306,2.159763599856267,1.7242796992604306,0.43548390059583664,0.2016349847848247,3.8497364447660005,2.845465210109126,2.033909189655076,1.8158272551109245,8.307805011446321,1.7589122436996718,8.307805011446321,-6.54889276774665,-3.723262937764194,14.245008345212014,0.4167918466514123,0.9445888770152523
lowest_peak_keep,目标峰保持率最低,3,lowest_peak_keep_03_sample_01140.png,1140,0.000755258952267468,1.4991490524907056,1.278526834525538,1.4991490524907056,-0.22062221796516757,-0.17255970857040367,2.730602538487051,2.2442216968993614,1.643032203316087,1.0875703351709642,5.662155336293504,1.5421291768076013,5.662155336293504,-4.120026159485903,-2.6716478888071284,11.188464596029474,0.4939291904000062,0.908419633408986
lowest_peak_keep,目标峰保持率最低,4,lowest_peak_keep_04_sample_00323.png,323,0.006092962343245745,3.720723348277792,1777.7258571000893,3.720723348277792,1774.0051337518116,0.9979070319906652,1656.1816120264973,6.855032710186583,6.123988079488004,1650.0576239470092,10.735674513031213,1699.7157396035946,10.735674513031213,1688.9800650905634,0.9936838412077451,25.333046636504264,0.5762185785596989,68.09480166330836
lowest_peak_keep,目标峰保持率最低,5,lowest_peak_keep_05_sample_00290.png,290,0.0006180786876939237,1.6169787323403584,1.6559340503803919,1.6169787323403584,0.03895531804003349,0.023524679639919777,2.74629788329863,1.8425249742965848,1.8018790144143861,0.9444188688842439,8.771980528794373,1.3841978338480683,8.771980528794373,-7.387782694946305,-5.337230354138236,20.831892173339444,0.5789158058325249,0.9335539075216818
too_low_noise_floor,预测底噪明显低于干净底噪,1,too_low_noise_floor_01_sample_00060.png,60,0.018907733261585236,160.23754648206366,1352.0084416718703,160.23754648206366,1191.7708951898067,0.8814818446814454,1631.3054323938516,371.93710775275423,293.48601318723234,1337.8194192066192,374.84918614890563,1408.4295153100873,374.84918614890563,1033.5803291611817,0.7338530738853646,1303.934126752163,0.7125244454774877,1.7998618037613594
too_low_noise_floor,预测底噪明显低于干净底噪,2,too_low_noise_floor_02_sample_00007.png,7,0.01867280714213848,161.61074964657985,1337.5998864746987,161.61074964657985,1175.9891368281187,0.8791785560983323,1631.1521820936764,378.7822723453128,302.28882916338534,1328.863352930291,341.2348022409392,1261.0893599534381,341.2348022409392,919.854557712499,0.729412670444275,1338.2865514681641,0.7450211228181377,1.9423163959691316
too_low_noise_floor,预测底噪明显低于干净底噪,3,too_low_noise_floor_03_sample_01636.png,1636,0.016914652660489082,147.66602241985626,1327.6007191155095,147.66602241985626,1179.9346966956532,0.8887722639091096,1568.3155445756065,363.71172263475574,289.5992234363022,1278.7163211393042,478.9390139819666,782.1614647091765,478.9390139819666,303.2224507272099,0.3876724492428864,1519.4100658029092,0.6847862043556499,1.389976124153459
too_low_noise_floor,预测底噪明显低于干净底噪,4,too_low_noise_floor_04_sample_00536.png,536,0.015546638518571854,133.82322235945134,354.41318913175587,133.82322235945134,220.58996677230454,0.6224090229618924,552.2411600391353,364.0584963492531,300.8949650512275,251.34619498790778,300.93660682860343,522.0966398020352,300.93660682860343,221.16003297343173,0.4235998014798364,1408.9643739574028,0.7864129055418533,1.1888092584777779
too_low_noise_floor,预测底噪明显低于干净底噪,5,too_low_noise_floor_05_sample_01242.png,1242,0.015779610723257065,125.66560150901608,365.88268603089716,125.66560150901608,240.21708452188108,0.6565412731817428,583.4393910057946,362.4051120713745,302.0852611941848,281.3541298116098,538.2735731480018,187.20004821481325,538.2735731480018,-351.07352493318854,-1.8753922783733978,1476.9013222489427,0.6355385664301871,1.107526571036739
