sample_id,tf_mae,spectrum_mae,noisy_spectrum_mae,pred_spectrum_mae,spectrum_mae_improvement,spectrum_mae_improvement_ratio,noisy_noise_floor,clean_noise_floor,pred_noise_floor,noise_floor_reduction,peak_error,noisy_peak_error,pred_peak_error,peak_error_improvement,peak_error_improvement_ratio,clean_peak_mean,pred_peak_keep_ratio,noisy_peak_keep_ratio,label_peak_clean_mean,label_peak_noisy_mean,label_peak_pred_mean,label_pred_peak_keep_ratio,label_noisy_peak_keep_ratio,label_peak_error_noisy,label_peak_error_pred,label_peak_error_improvement
210,0.054278820753097534,22.891058790559935,1689.0850177919137,22.891058790559935,1666.1939590013537,0.9864476574302431,1612.2990005587353,65.67691945687993,52.54548061745773,1559.7535199412775,175.56709454037332,1076.88733237794,175.56709454037332,901.3202378375668,0.836968000958194,758.5466009459533,0.7685480439548071,2.41967195032579,596.4718417706516,1815.2032073261591,458.25114488800415,0.7682695356207704,3.043233695554936,1218.7313655555074,138.22069688264742,1080.51066867286
1485,0.21972480416297913,103.7851548203779,1108.5497828148955,103.7851548203779,1004.7646279945176,0.9063775425972838,1312.880464733072,301.63505205216546,238.438101282909,1074.442363450163,289.14774601635935,993.3690241992323,289.14774601635935,704.221278182873,0.7089221236292876,1168.3636352231376,0.7525190468966135,1.3531464150439292,512.839485613293,1579.0049047505795,375.02200512960286,0.7312658553994191,3.078945652677823,1066.1654191372863,151.30133510035068,914.8640840369357
145,0.02698729932308197,12.877894467288632,63.17097877920686,12.877894467288632,50.29308431191823,0.7961422362585353,88.48673815670176,37.983436260799095,31.155318632071708,57.33141952463005,183.73796112022936,26.967241848795727,183.73796112022936,-156.77071927143362,-5.813376100916843,808.1507233930937,0.7726439440049142,0.9666309253110964,1060.0872712024595,1030.737674525537,833.1874878507554,0.7859612227073237,0.9723139806747879,29.3495966769226,226.89978335170417,-197.55018667478157
331,0.009925278834998608,4.4362404693520805,5.916373728181295,4.4362404693520805,1.4801332588292144,0.2501757540736377,8.676323962050564,4.405714228508322,5.54783469675041,3.1284892653001535,130.2124845176603,7.46323276134486,130.2124845176603,-122.74925175631545,-16.447195964741194,881.2982737569688,0.8522492459192443,1.008468452717522,698.8969852693268,702.515881012886,585.8297523342089,0.8382204597841464,1.0051780102358927,7.349824855307119,113.06723293511774,-105.71740807981062
88,0.016857005655765533,7.318407288963851,120.48170189795334,7.318407288963851,113.16329460898949,0.9392571056544133,130.42997157127468,16.924934916494244,14.089499915651084,116.34047165562359,115.53576531721488,5.0287430102599915,115.53576531721488,-110.5070223069549,-21.975078480147182,535.6478767758775,0.7843064999853315,1.0078997001934815,658.8930180001889,686.1507275091063,518.5157782646965,0.7869498751685783,1.041368945738183,57.23669935583163,140.3772397354925,-83.14054037966088
1242,0.2384505718946457,108.2336790797602,365.88268603089716,108.2336790797602,257.649006951137,0.7041847477018349,583.4393910057946,362.4051120713745,291.1317637712561,292.30762723453853,427.81594989138307,187.20004821481325,427.81594989138307,-240.61590167656982,-1.2853410240603225,1476.9013222489427,0.7103286838148881,1.107526571036739,608.2356921478662,987.261688981487,560.1844360477158,0.9209989536614225,1.6231564535372205,379.02599683362087,139.77587741574416,239.2501194178767
1278,0.01685379073023796,6.906309696213951,1784.5819614932514,6.906309696213951,1777.6756517970375,0.9961300126050613,1661.7041353242635,7.0919717837312355,7.5111598505837875,1654.1929754736798,211.1910141693088,581.6015827349121,211.1910141693088,370.4105685656033,0.6368802622987918,822.7115655477637,0.743298838847978,1.5752234345814184,552.0461653580041,1758.3909675954724,402.3265948648018,0.7287915759796852,3.1852244937796983,1287.613759985472,149.7195704932024,1137.8941894922696
1603,0.01155117992311716,5.380301444150477,273.7957521581437,5.380301444150477,268.41545071399327,0.9803492150563285,261.79532772323853,4.64342916056009,6.2681261360904355,255.52720158714808,159.93570821876403,231.10678897989806,159.93570821876403,71.17108076113402,0.3079575510320667,771.9815761465501,0.79282444923478,0.8989313791570774,745.6541055771428,805.3785953886066,580.9123299223041,0.7790640802180965,1.080096775924323,209.9334514542371,164.74177565483868,45.19167579939841
63,0.02068359963595867,9.699771602742015,534.6447859764875,9.699771602742015,524.9450143737455,0.9818575400767706,526.4162253628681,22.363085675571742,17.27700068813098,509.13922467473714,142.7625565927922,252.96641451205946,142.7625565927922,110.20385791926725,0.4356462028045766,741.830060995762,0.8075535569411122,1.3410031863261263,965.9811692590998,1182.6445631850725,789.9899797607962,0.8178109521189865,1.2242935999385494,216.66339392597263,175.99118949830358,40.672204427669044
875,0.13509874045848846,65.24114939323792,330.7506483681824,65.24114939323792,265.50949897494445,0.8027482343115068,449.82636510827086,189.55954432434268,152.0718581235982,297.7545069846727,202.64661414809595,385.34731366816715,202.64661414809595,182.7006995200712,0.4741195618594597,818.192760503349,0.7523241173346137,1.1863528840945856,907.8588098109387,682.586225293832,718.5605198497897,0.7914892845501269,0.7518638558301596,451.0839859116474,189.2982899611491,261.7856959504983
