sample_id,mask_ratio,high_interference_coverage,target_mask_overlap_ratio,mask_in_noisy_mae,mask_out_noisy_mae,mask_in_v11_mae,mask_out_v11_mae,mask_in_v13_mae,mask_out_v13_mae
210,0.14035560344827586,1.0,0.13793103448275862,13.613338937730637,0.026966682233071308,0.18977635523064626,0.040784740690342144,0.9184863068369851,0.02696668747951429
1485,0.13483297413793102,0.9798115746971736,0.15517241379310345,10.736833191836025,0.07399315614365884,0.8462548488553318,0.1822685591660365,0.672121658764492,0.0739931789661348
145,0.12769396551724138,0.971736204576043,0.041379310344827586,0.691548867670154,0.0033122603913392262,0.09814554645472313,0.01655720991574871,0.08314956161315801,0.0033122634463284987
331,0.11341594827586207,0.8223418573351279,0.0017241379310344827,0.06332706192063656,0.0017765759343667553,0.013507156167510852,0.01088185102489897,0.01297108750920555,0.001776576724483586
88,0.13739224137931033,0.9973082099596231,0.10574712643678161,1.0272790826434617,0.00258336956194266,0.049801892500423314,0.013432487550545904,0.05914935239815365,0.0025833712560658258
1242,0.10358297413793104,0.8586810228802153,0.10804597701149425,4.354687644285879,0.0678123433840091,0.8142878831593907,0.20796032313227608,0.6536735557490869,0.06781236952915289
1278,0.1392780172413793,0.9973082099596231,0.13620689655172413,14.007254312901344,0.05450040283188636,0.10116173299354167,0.0185980891718634,1.1250058875179483,0.05450040377689347
1603,0.1328125,0.9851951547779273,0.10574712643678161,2.2529720998851155,0.016151731668421817,0.03402411541454091,0.013064084237108335,0.17485508464276267,0.0161517324350596
63,0.13294719827586207,0.9676985195154778,0.11724137931034483,4.481965171502369,0.04109157876783188,0.07039248876877367,0.01761918723349091,0.2688951131864268,0.04109158045018611
875,0.1306573275862069,0.9636608344549125,0.13793103448275862,3.4116004689426584,0.026990221466290355,0.5403176509303074,0.13529631557833738,0.42884672357666054,0.026990235756799378
527,0.14345366379310345,0.9959623149394348,0.05172413793103448,0.19110322683475048,0.0024093572482352782,0.01711620451531762,0.008973888801120593,0.015192563729603767,0.002409357709134753
807,0.09698275862068965,0.8371467025572006,0.006896551724137931,0.05157305116854188,0.0010884339808989155,0.014702318323400031,0.008669030068229501,0.015896076593779056,0.0010884345874630857
155,0.1671605603448276,1.0,0.13793103448275862,3.8238028597872873,0.04050527325250997,0.03601295467645543,0.01725861633334586,0.2627089016537324,0.040505273766087965
1755,0.013335129310344827,0.006729475100942127,0.0,0.0,0.0,0.017712884937781653,0.015162299146484256,0.004124399580755635,3.1409952339498497e-09
746,0.13550646551724138,0.9865410497981157,0.0896551724137931,1.4275863008905851,0.010449975800795182,0.0221873182786417,0.011001997979499566,0.12151136279938081,0.010449976414184976
1223,0.10035021551724138,0.7913862718707941,0.0706896551724138,2.1958836953759087,0.04910472536241816,0.4752627259106684,0.15296969331443863,0.4047653878279748,0.04910473992792122
587,0.16608297413793102,1.0,0.16034482758620688,8.143310013216412,0.08907791453664046,0.08172977699368264,0.0287034951673049,0.6363486657546393,0.08907791546103125
196,0.1671605603448276,1.0,0.13793103448275862,12.085790456726885,0.14082755191466892,0.10715217491718822,0.030818971829906873,0.9802520853878733,0.1408275527649469
958,0.1050646551724138,0.8223418573351279,0.12413793103448276,2.2065086033408465,0.05375292177992659,0.4650627773497009,0.14689556711217386,0.37812854304830384,0.053752936267183284
1519,0.16689116379310345,1.0,0.14482758620689656,6.807278051103054,0.07095653875081595,0.05187900990316131,0.021467820037473575,0.5312473408136086,0.070956539572913
317,0.17025862068965517,1.0,0.135632183908046,2.381529687017909,0.026732459036802554,0.050898050904917815,0.019284438264017583,0.1743754760388239,0.02673245952137055
855,0.13739224137931033,1.0,0.12643678160919541,3.674564860871996,0.007029438948352913,0.16120205119475403,0.03063914912004275,0.1771195804089231,0.007029444020813935
322,0.15921336206896552,0.9932705248990579,0.08045977011494253,0.4836525779118128,0.0056519438431060975,0.023661592155903098,0.011856208028200999,0.04202791164522736,0.0056519442106377025
428,0.1654094827586207,1.0,0.1310344827586207,3.1856272222594413,0.02804443062325438,0.1688662318318712,0.04063814017523536,0.16350502704726277,0.028044434100980672
1136,0.09967672413793104,0.8102288021534321,0.002652519893899204,0.4674009163059455,0.011627933472927957,0.1194585963540972,0.024718811981368827,0.10354038049225477,0.011627936799001412
1377,0.1345635775862069,0.9340511440107672,0.12413793103448276,11.589198278960726,0.15734288974438837,0.9495360728133355,0.2106497658591802,0.7631561424228137,0.1573429132740381
60,0.14870689655172414,1.0,0.17758620689655172,12.049624724737898,0.12050087374929819,1.0795580842605161,0.2461327977126055,0.7881470406566577,0.12050089483767133
370,0.13577586206896552,0.9878869448183042,0.11724137931034483,3.9879025065702143,0.0185701312317147,0.1981381857587297,0.03390208953248008,0.19179177561395155,0.018570136237521514
1888,0.09886853448275862,0.8263795423956931,0.04597701149425287,0.2916329723025429,0.00622669485269994,0.07493007071403922,0.01666696812492675,0.05923172323355243,0.006226697115497236
1378,0.13011853448275862,0.9327052489905787,0.12413793103448276,3.048737965892542,0.04290737749066544,0.14799175506283685,0.02812728851316485,0.14628324083426303,0.04290738085757362
1332,0.037176724137931036,0.2934051144010767,0.0,0.7235458690331859,0.05074262144055483,0.1961415420294131,0.07856416435405361,0.18179112585093865,0.05074262919199471
685,0.13510237068965517,0.9582772543741588,0.12183908045977011,4.124663993355206,0.04156585887217353,0.047958336012756723,0.015787389829275876,0.2821590941885428,0.04156586015089214
634,0.1314655172413793,0.9798115746971736,0.034482758620689655,0.04514745346557067,0.00022219195481597794,0.014216350181410545,0.00912042200007042,0.01602969363124069,0.0002221922650171719
536,0.1015625,0.8667563930013459,0.10344827586206896,3.996004681050854,0.05831967755411943,0.8704025815936667,0.2046580710047207,0.7884560194840229,0.058319705380818175
1487,0.011988146551724138,0.013458950201884253,0.0017241379310344827,0.0,0.0,0.02886461723200882,0.014094823471914547,0.008226315391051182,2.407092562926257e-09
342,0.1294450431034483,0.9327052489905787,0.11206896551724138,2.01076716007259,0.032017822326329014,0.023744355134508493,0.009530634637313616,0.1624543142179262,0.03201782279783502
712,0.12271012931034483,0.8950201884253028,0.05517241379310345,0.4094709112524102,0.007694962132415607,0.0592036508603317,0.016916426145205072,0.046796493134657925,0.007694964103749362
1190,0.08836206896551724,0.7631224764468372,0.006896551724137931,0.24082047833196615,0.007987343477857567,0.053390450216923936,0.017007193137470254,0.04672850219015298,0.007987345280072538
1184,0.10452586206896551,0.8425302826379543,0.10689655172413794,1.3115061055756185,0.030110327341566406,0.2532027351220802,0.07411491677674306,0.2101835818362481,0.03011033538515825
1678,0.16635237068965517,1.0,0.1310344827586207,4.076604822208504,0.037685897591437686,0.07258230494788619,0.025493495035326316,0.24565658641674082,0.03768589908900474
1552,0.0941540948275862,0.7900403768506057,0.0,0.22954145952829358,0.004907169961246341,0.058024620128486214,0.012958780506268117,0.047344413932835845,0.004907171633279972
1402,0.16864224137931033,1.0,0.1471264367816092,6.576816432451502,0.059164080076914496,0.11507600366545288,0.03820461135067738,0.4100689732551945,0.05916408251175226
1180,0.034482758620689655,0.27456258411843876,0.0,0.04937290971072016,0.0036428632772189775,0.019075300407789337,0.013682630745466466,0.024992164996772197,0.0036428643159768814
