rho,pfa,dilation_iter,mean_mask_ratio,mean_noisy_spectrum_mae,mean_pred_spectrum_mae,aggregate_spectrum_mae_improvement_ratio,median_spectrum_mae_improvement_ratio,spectrum_improved_rate,mean_noisy_peak_error,mean_pred_peak_error,aggregate_peak_error_improvement_ratio,median_peak_error_improvement_ratio,peak_improved_rate,mean_clean_noise_floor,mean_pred_noise_floor,pred_to_clean_noise_floor_ratio,mean_pred_peak_keep_ratio,median_pred_peak_keep_ratio,valid_label_peak_sample_count,valid_label_peak_sample_rate,mean_label_peak_clean_mean,mean_label_peak_noisy_mean,mean_label_peak_pred_mean,aggregate_label_pred_peak_keep_ratio,mean_label_pred_peak_keep_ratio,median_label_pred_peak_keep_ratio,aggregate_label_noisy_peak_keep_ratio,mean_label_noisy_peak_keep_ratio,mean_label_peak_error_noisy,mean_label_peak_error_pred,mean_label_peak_error_improvement,label_peak_error_improved_rate,score
0.0,0.001,1,0.11541554418103449,383.13804498859594,25.430618025717205,0.933625442948444,0.9013117867931664,0.935,293.361831799723,54.963467289597595,0.812642745811865,0.41710537292188454,0.78,56.853570433748025,59.31568762079755,1.0433062896184973,1.0386099407524723,0.9443251196731179,200,1.0,743.8704107537037,953.2076310256223,696.700135094753,0.9365880468196647,0.9402145457816965,0.9429126345914347,1.2814162483755929,1.2758334866399497,284.7572725616781,59.308798285028935,225.44847427664914,0.81,2.640533699111643
0.0,0.0001,2,0.1579694234913793,383.13804498859594,24.483796455330022,0.936096671224444,0.9035860556326121,0.945,293.361831799723,58.2782185784471,0.801343555087175,0.3848907271626515,0.775,56.853570433748025,57.680956065928186,1.0145529229891432,1.0142490295859672,0.9224153705197329,200,1.0,743.8704107537037,953.2076310256223,691.6980524624411,0.9298636462251528,0.9334220725513117,0.9350226736981457,1.2814162483755929,1.2758334866399497,284.7572725616781,66.1387472295315,218.61852533214656,0.785,2.639965820786612
0.0,0.0001,1,0.09824084051724138,383.13804498859594,29.25936452561398,0.9236323176246178,0.892170783967225,0.945,293.361831799723,56.065315695369435,0.808886809332289,0.40624378974722763,0.805,56.853570433748025,61.237701784289236,1.0771126829343125,1.0471801341514928,0.9541759618022605,200,1.0,743.8704107537037,953.2076310256223,701.8979427049588,0.9435755644505102,0.9470303377903352,0.9583044876053779,1.2814162483755929,1.2758334866399497,284.7572725616781,61.13708879841003,223.62018376326807,0.825,2.6185499724806407
0.0,0.001,2,0.18481142241379309,383.13804498859594,21.599392552426483,0.9436250384556057,0.9056826109045929,0.93,293.361831799723,57.14305241347845,0.8052130638027588,0.39242629076668156,0.755,56.853570433748025,56.29083928010682,0.9901020965025062,1.0055335993074177,0.9186392082187433,200,1.0,743.8704107537037,953.2076310256223,687.81324188782,0.9246412169976146,0.928804247776673,0.9257769086850163,1.2814162483755929,1.2758334866399497,284.7572725616781,63.54364942774471,221.21362313393337,0.75,2.612531382734785
0.1,0.001,1,0.11541554418103449,383.13804498859594,24.44781505723341,0.9361905835846683,0.9045353262912363,0.905,293.361831799723,53.98440308171794,0.8159801404615823,0.43919482559219913,0.74,56.853570433748025,58.80727382375333,1.03436377654209,1.0290871887661883,0.9444963401284517,200,1.0,743.8704107537037,953.2076310256223,697.7842123243622,0.9380453937095763,0.9418032923584359,0.9427301231153027,1.2814162483755929,1.2758334866399497,284.7572725616781,58.52501335811325,226.23225920356487,0.76,2.603630099401014
0.1,0.0001,2,0.1579694234913793,383.13804498859594,23.653500420011753,0.9382637649030239,0.895045837013971,0.905,293.361831799723,57.0409656678983,0.805561052990561,0.41850908781460466,0.735,56.853570433748025,57.354496299171096,1.0088108075113207,1.0075926646260895,0.9258125294620321,200,1.0,743.8704107537037,953.2076310256223,693.2858856653943,0.9319982024327917,0.9356921437094782,0.9397707707961636,1.2814162483755929,1.2758334866399497,284.7572725616781,64.79750148995566,219.95977107172243,0.735,2.600145101101181
0.25,0.0001,2,0.1579694234913793,383.13804498859594,22.746993645728345,0.940629770540262,0.8940848020780052,0.89,293.361831799723,55.684912297783505,0.810183513117005,0.5034228339392474,0.725,56.853570433748025,57.132774945020586,1.0049109406699077,0.9995752281397734,0.930519246690278,200,1.0,743.8704107537037,953.2076310256223,695.7211203009797,0.9352719374817743,0.9391803543955426,0.9409572820097112,1.2814162483755929,1.2758334866399497,284.7572725616781,63.31347822012481,221.44379434155329,0.72,2.5948991842658966
0.1,0.001,2,0.18481142241379309,383.13804498859594,21.152031916732188,0.9447926610437192,0.9064736471275703,0.91,293.361831799723,56.166343536515335,0.8085424296952853,0.4748712016126777,0.735,56.853570433748025,56.15153064952219,0.9876517907517537,1.000160192874672,0.921777912560354,200,1.0,743.8704107537037,953.2076310256223,689.8265402845203,0.9273477346485323,0.9315923106588041,0.9298482527658637,1.2814162483755929,1.2758334866399497,284.7572725616781,62.58547192769211,222.17180063398598,0.73,2.5940367624542766
0.25,0.001,1,0.11541554418103449,383.13804498859594,23.318470233778186,0.9391382021733908,0.894842762593493,0.89,293.361831799723,53.091064317503,0.8190253176706775,0.5200250986980399,0.72,56.853570433748025,58.294560646471446,1.025345641473874,1.0166903778038903,0.9405521272507198,200,1.0,743.8704107537037,953.2076310256223,699.4626711644706,0.9403017797895223,0.9442673131933614,0.946664169484476,1.2814162483755929,1.2758334866399497,284.7572725616781,58.06055132307269,226.6967212386054,0.735,2.5930598738928783
0.1,1e-05,2,0.14126414331896553,383.13804498859594,27.30889026111726,0.9287231048487233,0.8865546572213541,0.905,293.361831799723,59.596582266178864,0.79684957003246,0.4129431393639215,0.73,56.853570433748025,59.16057359454275,1.0405779820544971,1.0232426123379579,0.9358051560144776,200,1.0,743.8704107537037,953.2076310256223,696.7367672347309,0.9366372921444528,0.9403765764829576,0.9502313756021106,1.2814162483755929,1.2758334866399497,284.7572725616781,64.74007890238094,220.01719365929716,0.755,2.583521699277184
0.5,0.001,2,0.18481142241379309,383.13804498859594,20.818053472330938,0.9456643532412695,0.8911157462538873,0.855,293.361831799723,54.24003977596478,0.8151087363914667,0.5720175001981713,0.7,56.853570433748025,56.742633653851264,0.9980487280033532,0.9878733262109756,0.9359080765455801,200,1.0,743.8704107537037,953.2076310256223,698.0759123848882,0.9384375319856914,0.9430618304310384,0.9404373411771145,1.2814162483755929,1.2758334866399497,284.7572725616781,60.66891031437905,224.08836224729907,0.695,2.5817749116756614
0.5,0.0001,2,0.1579694234913793,383.13804498859594,21.906654468408554,0.9428230770737983,0.8909504878208137,0.855,293.361831799723,54.394424963367385,0.8145824743809813,0.5620382688077488,0.705,56.853570433748025,57.3042438393446,1.0079269147418235,0.99108705736332,0.9390948252944269,200,1.0,743.8704107537037,953.2076310256223,699.9236379801246,0.9409214667793394,0.945223881051671,0.9468492675312785,1.2814162483755929,1.2758334866399497,284.7572725616781,61.46459399707355,223.29267856460453,0.7,2.580120043383646
0.0,1e-05,2,0.14126414331896553,383.13804498859594,28.66277271598024,0.9251894373558404,0.8947258692431599,0.945,293.361831799723,61.49389569839244,0.7903820844002157,0.37050774452483504,0.76,56.853570433748025,59.776709537877814,1.051415224792894,1.0319681427792227,0.937869328282388,200,1.0,743.8704107537037,953.2076310256223,695.579984308341,0.9350822055195959,0.938689036171828,0.9480288221333304,1.2814162483755929,1.2758334866399497,284.7572725616781,66.1593935684754,218.5978789932027,0.765,2.5774632487347744
0.25,0.001,2,0.18481142241379309,383.13804498859594,20.79655008414591,0.9457204776289838,0.901887601341727,0.89,293.361831799723,55.129411072896666,0.8120770833250956,0.5452905661803407,0.73,56.853570433748025,56.18592123332877,0.9882566882725989,0.993895863949974,0.9235313323934435,200,1.0,743.8704107537037,953.2076310256223,692.881551077583,0.9314546472893608,0.9358306775165102,0.934382046824224,1.2814162483755929,1.2758334866399497,284.7572725616781,61.65581478300319,223.1014577786749,0.705,2.5748078434180925
0.25,1e-05,2,0.14126414331896553,383.13804498859594,25.62376087189128,0.9331213352287842,0.8851450416276029,0.89,293.361831799723,57.444652651811396,0.8041849810542885,0.4949257772789581,0.72,56.853570433748025,58.53151379700526,1.0295134210649541,1.012194274416901,0.9372161607564411,200,1.0,743.8704107537037,953.2076310256223,698.5456130581101,0.9390689600764337,0.9430185112585135,0.9496387746780531,1.2814162483755929,1.2758334866399497,284.7572725616781,63.14478414522366,221.61248841645443,0.72,2.5666264254223434
0.5,0.001,1,0.11541554418103449,383.13804498859594,22.16637946297929,0.9421451882606984,0.8902695161983123,0.855,293.361831799723,52.58750680164147,0.8207418242549605,0.5620266704393442,0.695,56.853570433748025,57.982765442058415,1.0198614616407644,1.000880329717115,0.9438213763283723,200,1.0,743.8704107537037,953.2076310256223,702.4075034629999,0.9442605772574113,0.9486053473303747,0.950169693649504,1.2814162483755929,1.2758334866399497,284.7572725616781,58.090251712135576,226.6670208495425,0.695,2.565889073950309
0.5,1e-05,2,0.14126414331896553,383.13804498859594,23.559551361150533,0.9385089743258157,0.8881645270491916,0.855,293.361831799723,55.24476593518485,0.8116838663153009,0.5610474554441288,0.69,56.853570433748025,58.0967020152425,1.0218654971360701,0.9987561847434483,0.9419711097503888,200,1.0,743.8704107537037,953.2076310256223,701.7548973336135,0.9433832656720167,0.9477192019399852,0.9519552442691025,1.2814162483755929,1.2758334866399497,284.7572725616781,61.21035433818075,223.5469182234973,0.7,2.5643626791297307
0.25,0.0001,1,0.09824084051724138,383.13804498859594,25.926445289035364,0.9323313212348644,0.8853339084304064,0.89,293.361831799723,53.232218414849214,0.8185441572672253,0.49218678524024406,0.725,56.853570433748025,59.590369122643864,1.048137674872769,1.0224400804073384,0.9575627678750815,200,1.0,743.8704107537037,953.2076310256223,703.2143381605317,0.9453452214183671,0.9491716269490916,0.9604160520285876,1.2814162483755929,1.2758334866399497,284.7572725616781,59.132086144040706,225.62518641763737,0.73,2.563365273311187
0.1,0.0001,1,0.09824084051724138,383.13804498859594,27.780612091896174,0.9274918989245168,0.8842700829356787,0.905,293.361831799723,54.64544641946681,0.8137268025488298,0.4426993766516857,0.735,56.853570433748025,60.46664917428821,1.0635506039985745,1.0365404498637114,0.9544308760655915,200,1.0,743.8704107537037,953.2076310256223,702.3861679607336,0.9442318955112927,0.9478305827135839,0.9571429793409731,1.2814162483755929,1.2758334866399497,284.7572725616781,60.06595046007913,224.69132210159896,0.75,2.561771877639526
0.5,0.0001,1,0.09824084051724138,383.13804498859594,23.64157838707292,0.9382948817109076,0.8872604837913649,0.855,293.361831799723,52.425539358078076,0.8212939323549466,0.5643832092485981,0.69,56.853570433748025,58.739055932205304,1.0331638889883696,1.0039793751642678,0.9518802227897388,200,1.0,743.8704107537037,953.2076310256223,704.8272093677122,0.9475134367202047,0.9517589120193543,0.9565637912551133,1.2814162483755929,1.2758334866399497,284.7572725616781,58.584082287468846,226.17319027420922,0.7,2.556889904741892
