method,aggregate_spectrum_mae_improvement_ratio,spectrum_improved_rate,mean_label_pred_peak_keep_ratio,mean_label_peak_error_pred,label_peak_error_improved_rate,pred_to_clean_noise_floor_ratio
hybrid_v11_cfar,0.9236323176246178,0.945,0.9470303377903352,61.13708879841003,0.825,1.0771126829343125
v1.1,0.9395698978612104,0.81,0.9583678577136182,61.29363257888005,0.665,1.0459061836786963
CFAR-AC,0.9149108754194412,0.96,0.9529991512893403,60.07591289106085,0.805,1.1018602816216199
