sample_id,tf_mae,spectrum_mae,noisy_spectrum_mae,pred_spectrum_mae,spectrum_mae_improvement,spectrum_mae_improvement_ratio,noisy_noise_floor,clean_noise_floor,pred_noise_floor,noise_floor_reduction,peak_error,noisy_peak_error,pred_peak_error,peak_error_improvement,peak_error_improvement_ratio,clean_peak_mean,pred_peak_keep_ratio,noisy_peak_keep_ratio,label_peak_clean_mean,label_peak_noisy_mean,label_peak_pred_mean,label_pred_peak_keep_ratio,label_noisy_peak_keep_ratio,label_peak_error_noisy,label_peak_error_pred,label_peak_error_improvement
210,0.06342606991529465,23.805168823949014,1689.0850177919137,23.805168823949014,1665.2798489679647,0.9859064709157928,1612.2990005587353,65.67691945687993,63.993798697888394,1548.3052018608469,55.60974976340359,1076.88733237794,55.60974976340359,1021.2775826145365,0.9483606612396412,758.5466009459533,0.9356464753278432,2.41967195032579,596.4718417706516,1815.2032073261591,562.116343823612,0.9424021461850507,3.043233695554936,1218.7313655555074,41.15010031148693,1177.5812652440204
1485,0.23319415748119354,99.350155183235,1108.5497828148955,99.350155183235,1009.1996276316605,0.9103782647172064,1312.880464733072,301.63505205216546,284.7231304682066,1028.1573342648653,117.50452837724511,993.3690241992323,117.50452837724511,875.8644958219871,0.8817111007946246,1168.3636352231376,0.8994281190934158,1.3531464150439292,512.839485613293,1579.0049047505795,389.9081266831088,0.7602927185234705,3.078945652677823,1066.1654191372863,194.81819668901034,871.3472224482759
145,0.025258105248212814,13.153936185391041,63.17097877920686,13.153936185391041,50.01704259381582,0.7917724809779147,88.48673815670176,37.983436260799095,37.07385034554722,51.41288781115454,41.71580897009949,26.967241848795727,41.71580897009949,-14.748567121303761,-0.5469067694797415,808.1507233930937,0.9483811524724597,0.9666309253110964,1060.0872712024595,1030.737674525537,1010.1703793168066,0.9529124693394044,0.9723139806747879,29.3495966769226,49.916891885652944,-20.567295208730343
331,0.010838372632861137,10.856860234403218,5.916373728181295,10.856860234403218,-4.940486506221923,-0.8350531479593731,8.676323962050564,4.405714228508322,14.34709788058554,-5.670773918534977,58.02203824786019,7.46323276134486,58.02203824786019,-50.558805486515325,-6.774384117882548,881.2982737569688,1.0658370043101444,1.008468452717522,698.8969852693268,702.515881012886,738.4504419088332,1.0565941154035228,1.0051780102358927,7.349824855307119,39.55345663950652,-32.2036317841994
88,0.01871001534163952,10.759495632855495,120.48170189795334,10.759495632855495,109.72220626509785,0.9106960188695818,130.42997157127468,16.924934916494244,18.60304689761299,111.8269246736617,12.612198816038946,5.0287430102599915,12.612198816038946,-7.5834558057789545,-1.508022141975969,535.6478767758775,1.0235456899259139,1.0078997001934815,658.8930180001889,686.1507275091063,639.3077437729582,0.9702754867752672,1.041368945738183,57.23669935583163,32.97032241223214,24.26637694359949
1242,0.23794297873973846,99.25019963660856,365.88268603089716,99.25019963660856,266.6324863942886,0.7287376434417361,583.4393910057946,362.4051120713745,342.2886314240501,241.15075958174452,247.68495371912368,187.20004821481325,247.68495371912368,-60.48490550431043,-0.3231030444762686,1476.9013222489427,0.8322941756582878,1.107526571036739,608.2356921478662,987.261688981487,660.6419672176838,1.0861611308681263,1.6231564535372205,379.02599683362087,141.17659482622577,237.8494020073951
1278,0.028358200564980507,13.977775241840305,1784.5819614932514,13.977775241840305,1770.604186251411,0.9921674792509141,1661.7041353242635,7.0919717837312355,15.347478400376005,1646.3566569238874,75.85616006876944,581.6015827349121,75.85616006876944,505.74542266614264,0.8695736698100701,822.7115655477637,0.9077973821624056,1.5752234345814184,552.0461653580041,1758.3909675954724,488.7736103420342,0.8853853916819847,3.1852244937796983,1287.613759985472,63.27255501596995,1224.3412049695019
1603,0.01496851071715355,11.580772427783977,273.7957521581437,11.580772427783977,262.21497973035974,0.9577028776505818,261.79532772323853,4.64342916056009,13.708013737141549,248.08731398609697,67.68057250298796,231.10678897989806,67.68057250298796,163.4262164769101,0.7071458921577812,771.9815761465501,0.9123287723512461,0.8989313791570774,745.6541055771428,805.3785953886066,704.2802078254746,0.944513283783713,1.080096775924323,209.9334514542371,48.59260868689356,161.34084276734353
63,0.023720744997262955,12.43775938496343,534.6447859764875,12.43775938496343,522.207026591524,0.9767364057198336,526.4162253628681,22.363085675571742,21.260892163735527,505.15533319913254,78.68040812744528,252.96641451205946,78.68040812744528,174.28600638461418,0.6889689555065642,741.830060995762,0.8939374227813954,1.3410031863261263,965.9811692590998,1182.6445631850725,886.7048205397473,0.9179317866204816,1.2242935999385494,216.66339392597263,79.27634871935254,137.3870452066201
875,0.15670117735862732,61.14900340352811,330.7506483681824,61.14900340352811,269.60164496465427,0.8151205335341966,449.82636510827086,189.55954432434268,191.52567414818887,258.30069096008197,38.55107572451368,385.34731366816715,38.55107572451368,346.79623794365347,0.899957585385658,818.192760503349,1.028125575625107,1.1863528840945856,907.8588098109387,682.586225293832,925.8780941287279,1.0198481130799861,0.7518638558301596,451.0839859116474,69.2407229364114,381.84326297523603
